Months,Years,Area,Flood
Jan,2000,Islamabad,
Feb,2000,Islamabad,
Mar,2000,Islamabad,
Apr,2000,Islamabad,
May,2000,Islamabad,
Jun,2000,Islamabad,
Jul,2000,Islamabad,
Aug,2000,Islamabad,
Sep,2000,Islamabad,
Oct,2000,Islamabad,
Nov,2000,Islamabad,
Dec,2000,Islamabad,
Jan,2001,Islamabad,
Feb,2001,Islamabad,
Mar,2001,Islamabad,
Apr,2001,Islamabad,
May,2001,Islamabad,
Jun,2001,Islamabad,
Jul,2001,Islamabad,Yes
Aug,2001,Islamabad,
Sep,2001,Islamabad,
Oct,2001,Islamabad,
Nov,2001,Islamabad,
Dec,2001,Islamabad,
Jan,2002,Islamabad,
Feb,2002,Islamabad,
Mar,2002,Islamabad,
Apr,2002,Islamabad,
May,2002,Islamabad,
Jun,2002,Islamabad,
Jul,2002,Islamabad,
Aug,2002,Islamabad,
Sep,2002,Islamabad,
Oct,2002,Islamabad,
Nov,2002,Islamabad,
Dec,2002,Islamabad,
Jan,2003,Islamabad,
Feb,2003,Islamabad,
Mar,2003,Islamabad,
Apr,2003,Islamabad,
May,2003,Islamabad,
Jun,2003,Islamabad,
Jul,2003,Islamabad,
Aug,2003,Islamabad,
Sep,2003,Islamabad,
Oct,2003,Islamabad,
Nov,2003,Islamabad,
Dec,2003,Islamabad,
Jan,2004,Islamabad,
Feb,2004,Islamabad,
Mar,2004,Islamabad,
Apr,2004,Islamabad,
May,2004,Islamabad,
Jun,2004,Islamabad,
Jul,2004,Islamabad,
Aug,2004,Islamabad,
Sep,2004,Islamabad,
Oct,2004,Islamabad,
Nov,2004,Islamabad,
Dec,2004,Islamabad,
Jan,2005,Islamabad,
Feb,2005,Islamabad,
Mar,2005,Islamabad,
Apr,2005,Islamabad,
May,2005,Islamabad,
Jun,2005,Islamabad,
Jul,2005,Islamabad,
Aug,2005,Islamabad,
Sep,2005,Islamabad,
Oct,2005,Islamabad,
Nov,2005,Islamabad,
Dec,2005,Islamabad,
Jan,2006,Islamabad,
Feb,2006,Islamabad,
Mar,2006,Islamabad,
Apr,2006,Islamabad,
May,2006,Islamabad,
Jun,2006,Islamabad,
Jul,2006,Islamabad,
Aug,2006,Islamabad,
Sep,2006,Islamabad,
Oct,2006,Islamabad,
Nov,2006,Islamabad,
Dec,2006,Islamabad,
Jan,2007,Islamabad,
Feb,2007,Islamabad,
Mar,2007,Islamabad,
Apr,2007,Islamabad,
May,2007,Islamabad,
Jun,2007,Islamabad,
Jul,2007,Islamabad,
Aug,2007,Islamabad,
Sep,2007,Islamabad,
Oct,2007,Islamabad,
Nov,2007,Islamabad,
Dec,2007,Islamabad,
Jan,2008,Islamabad,
Feb,2008,Islamabad,
Mar,2008,Islamabad,
Apr,2008,Islamabad,
May,2008,Islamabad,
Jun,2008,Islamabad,
Jul,2008,Islamabad,
Aug,2008,Islamabad,
Sep,2008,Islamabad,
Oct,2008,Islamabad,
Nov,2008,Islamabad,
Dec,2008,Islamabad,
Jan,2009,Islamabad,
Feb,2009,Islamabad,
Mar,2009,Islamabad,
Apr,2009,Islamabad,
May,2009,Islamabad,
Jun,2009,Islamabad,
Jul,2009,Islamabad,
Aug,2009,Islamabad,
Sep,2009,Islamabad,
Oct,2009,Islamabad,
Nov,2009,Islamabad,
Dec,2009,Islamabad,
Jan,2010,Islamabad,
Feb,2010,Islamabad,
Mar,2010,Islamabad,
Apr,2010,Islamabad,
May,2010,Islamabad,
Jun,2010,Islamabad,
Jul,2010,Islamabad,Yes
Aug,2010,Islamabad,
Sep,2010,Islamabad,
Oct,2010,Islamabad,
Nov,2010,Islamabad,
Dec,2010,Islamabad,
Jan,2011,Islamabad,
Feb,2011,Islamabad,
Mar,2011,Islamabad,
Apr,2011,Islamabad,
May,2011,Islamabad,
Jun,2011,Islamabad,
Jul,2011,Islamabad,
Aug,2011,Islamabad,
Sep,2011,Islamabad,
Oct,2011,Islamabad,
Nov,2011,Islamabad,
Dec,2011,Islamabad,
Jan,2012,Islamabad,
Feb,2012,Islamabad,
Mar,2012,Islamabad,
Apr,2012,Islamabad,
May,2012,Islamabad,
Jun,2012,Islamabad,
Jul,2012,Islamabad,
Aug,2012,Islamabad,
Sep,2012,Islamabad,
Oct,2012,Islamabad,
Nov,2012,Islamabad,
Dec,2012,Islamabad,
Jan,2013,Islamabad,
Feb,2013,Islamabad,
Mar,2013,Islamabad,
Apr,2013,Islamabad,
May,2013,Islamabad,
Jun,2013,Islamabad,
Jul,2013,Islamabad,Yes
Aug,2013,Islamabad,
Sep,2013,Islamabad,
Oct,2013,Islamabad,
Nov,2013,Islamabad,
Dec,2013,Islamabad,
Jan,2014,Islamabad,
Feb,2014,Islamabad,
Mar,2014,Islamabad,
Apr,2014,Islamabad,
May,2014,Islamabad,
Jun,2014,Islamabad,
Jul,2014,Islamabad,
Aug,2014,Islamabad,
Sep,2014,Islamabad,
Oct,2014,Islamabad,
Nov,2014,Islamabad,
Dec,2014,Islamabad,
Jan,2015,Islamabad,
Feb,2015,Islamabad,
Mar,2015,Islamabad,Yes
Apr,2015,Islamabad,
May,2015,Islamabad,
Jun,2015,Islamabad,
Jul,2015,Islamabad,
Aug,2015,Islamabad,
Sep,2015,Islamabad,
Oct,2015,Islamabad,
Nov,2015,Islamabad,
Dec,2015,Islamabad,
Jan,2016,Islamabad,
Feb,2016,Islamabad,
Mar,2016,Islamabad,
Apr,2016,Islamabad,
May,2016,Islamabad,
Jun,2016,Islamabad,
Jul,2016,Islamabad,
Aug,2016,Islamabad,
Sep,2016,Islamabad,
Oct,2016,Islamabad,
Nov,2016,Islamabad,
Dec,2016,Islamabad,
Jan,2017,Islamabad,
Feb,2017,Islamabad,
Mar,2017,Islamabad,
Apr,2017,Islamabad,
May,2017,Islamabad,
Jun,2017,Islamabad,
Jul,2017,Islamabad,
Aug,2017,Islamabad,
Sep,2017,Islamabad,
Oct,2017,Islamabad,
Nov,2017,Islamabad,
Dec,2017,Islamabad,
Jan,2018,Islamabad,
Feb,2018,Islamabad,
Mar,2018,Islamabad,
Apr,2018,Islamabad,
May,2018,Islamabad,
Jun,2018,Islamabad,
Jul,2018,Islamabad,
Aug,2018,Islamabad,Yes
Sep,2018,Islamabad,
Oct,2018,Islamabad,
Nov,2018,Islamabad,
Dec,2018,Islamabad,
Jan,2019,Islamabad,
Feb,2019,Islamabad,
Mar,2019,Islamabad,
Apr,2019,Islamabad,
May,2019,Islamabad,
Jun,2019,Islamabad,
Jul,2019,Islamabad,
Aug,2019,Islamabad,
Sep,2019,Islamabad,
Oct,2019,Islamabad,
Nov,2019,Islamabad,
Dec,2019,Islamabad,
Jan,2020,Islamabad,
Feb,2020,Islamabad,
Mar,2020,Islamabad,
Apr,2020,Islamabad,
May,2020,Islamabad,
Jun,2020,Islamabad,
Jul,2020,Islamabad,
Aug,2020,Islamabad,
Sep,2020,Islamabad,
Oct,2020,Islamabad,
Nov,2020,Islamabad,
Dec,2020,Islamabad,
Jan,2021,Islamabad,
Feb,2021,Islamabad,
Mar,2021,Islamabad,
Apr,2021,Islamabad,
May,2021,Islamabad,
Jun,2021,Islamabad,
Jul,2021,Islamabad,Yes
Aug,2021,Islamabad,
Sep,2021,Islamabad,
Oct,2021,Islamabad,
Nov,2021,Islamabad,
Dec,2021,Islamabad,